YEAR,MONTH,AIRLINE,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,UA,SFO,IAH,48,42,-6,619,-7,0,0,Null,Null,Null,Null,Null
2015,1,AS,ANC,PDX,50,46,-4,507,-18,0,0,Null,Null,Null,Null,Null
2015,1,DL,PDX,MSP,50,45,-5,551,-12,0,0,Null,Null,Null,Null,Null
2015,1,NK,LAS,MCI,55,120,25,543,6,0,0,Null,Null,Null,Null,Null
2015,1,AA,SEA,MIA,100,52,-8,939,1,0,0,Null,Null,Null,Null,Null
2015,1,NK,LAS,DFW,103,102,-1,529,-1,0,0,Null,Null,Null,Null,Null
2015,1,AA,LAX,MIA,105,103,-2,839,-12,0,0,Null,Null,Null,Null,Null
2015,1,DL,LAS,MSP,105,102,-3,545,-23,0,0,Null,Null,Null,Null,Null
2015,1,UA,LAX,IAH,115,112,-3,607,-11,0,0,Null,Null,Null,Null,Null
2015,1,AS,FAI,SEA,115,107,-8,545,-3,0,0,Null,Null,Null,Null,Null
2015,1,NK,MSP,FLL,115,127,12,607,25,0,0,25,0,0,0,0
2015,1,US,LAS,CLT,120,110,-10,754,-31,0,0,Null,Null,Null,Null,Null
2015,1,AA,DEN,MIA,120,141,21,709,2,0,0,Null,Null,Null,Null,Null
2015,1,NK,PHX,ORD,125,237,72,632,43,0,0,43,0,0,0,0
2015,1,AA,PHX,MIA,127,116,-11,710,-16,0,0,Null,Null,Null,Null,Null
2015,1,AS,ANC,SEA,135,Null,Null,Null,Null,0,1,Null,Null,Null,Null,Null
2015,1,DL,SLC,ATL,140,134,-6,725,10,0,0,Null,Null,Null,Null,Null
2015,1,NK,LAS,IAH,144,140,-4,630,-4,0,0,Null,Null,Null,Null,Null
2015,1,HA,LAS,HNL,145,145,0,610,15,0,0,0,0,15,0,0
2015,1,US,ANC,PHX,152,143,-9,905,-10,0,0,Null,Null,Null,Null,Null
